,t,true_cdf_0.3,Standard_beran_cdf_0.3,LogisticRegression_cdf_0.3,Standard_beran_mise_0.3,LogisticRegression_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,LogisticRegression_cdf_0.5,Standard_beran_mise_0.5,LogisticRegression_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,LogisticRegression_cdf_0.7,Standard_beran_mise_0.7,LogisticRegression_mise_0.7
47,1.4169378783045155,0.7628458498023716,0.9971739716418788,0.999991408667079,0.054981546611359,0.0562380167376198,0.7628458498023716,0.7773563671265246,0.7399470449923836,0.0009237692931984953,0.0017355621187068316,0.7628458498023716,0.7773563671265246,0.7399470449923836,0.0009237692931984953,0.0017355621187068316
48,1.4664094589947958,0.7766798418972332,0.9971739716418788,0.999991408667079,0.048689539178376685,0.049868056501568704,0.7766798418972332,0.7905321553145572,0.7501964372064445,0.0010543714969349206,0.002187497511274233,0.7766798418972332,0.7905321553145572,0.7501964372064445,0.0010543714969349206,0.002187497511274233
49,1.5158810396850757,0.782608695652174,0.9971739716418788,0.999991408667079,0.04611013558706627,0.047255244566085965,0.782608695652174,0.7947604003388966,0.759053673687713,0.0009711511979629227,0.0018925085031115927,0.782608695652174,0.7947604003388966,0.759053673687713,0.0009711511979629227,0.0018925085031115927
50,1.5653526203753556,0.7905138339920948,0.9971739716418788,0.999991408667079,0.0427802904199557,0.04388085494007895,0.7905138339920948,0.8045093449628833,0.7713782991664166,0.0007536707069069322,0.0013534495506082199,0.7905138339920948,0.8045093449628833,0.7713782991664166,0.0007536707069069322,0.0013534495506082199
51,1.6148242010656355,0.7984189723320159,0.9971739716418788,0.999991408667079,0.03957542767719167,0.040631447738418466,0.7984189723320159,0.8100428616046154,0.7788986467909721,0.0007866647095849408,0.0015361289429199918,0.7984189723320159,0.8100428616046154,0.7788986467909721,0.0007866647095849408,0.0015361289429199918
52,1.6642957817559154,0.808300395256917,0.9971739716418788,0.999991408667079,0.03574510578297405,0.0367454452705803,0.808300395256917,0.8185507452818366,0.788435777111107,0.0008434639094572673,0.0017418781972385253,0.808300395256917,0.8185507452818366,0.788435777111107,0.0008434639094572673,0.0017418781972385253
53,1.7137673624461953,0.8181818181818182,0.9971739716418788,0.999991408667079,0.03211006892679792,0.03305472784078361,0.8181818181818182,0.8311522907007994,0.8015278642272919,0.0011271771951752926,0.0017877971107536218,0.8181818181818182,0.8311522907007994,0.8015278642272919,0.0011271771951752926,0.0017877971107536218
54,1.7632389431364752,0.8241106719367589,0.9971739716418788,0.999991408667079,0.03002278363135219,0.03093403420116555,0.8241106719367589,0.8390696164358376,0.8098088762840152,0.0012198770794275859,0.0016914107886800238,0.8241106719367589,0.8390696164358376,0.8098088762840152,0.0012198770794275859,0.0016914107886800238
55,1.8127105238267556,0.83399209486166,0.9971739716418788,0.999991408667079,0.02670020283604254,0.02755577283223535,0.83399209486166,0.8445903725652094,0.8189958000095562,0.0010557599155583675,0.0015172552662012441,0.83399209486166,0.8445903725652094,0.8189958000095562,0.0010557599155583675,0.0015172552662012441
56,1.8621821045170355,0.841897233201581,0.9971739716418788,0.999991408667079,0.024182743427184683,0.02499376896448104,0.841897233201581,0.8495011915890542,0.8271496326363856,0.0009851713419083267,0.0014867299837419763,0.841897233201581,0.8495011915890542,0.8271496326363856,0.0009851713419083267,0.0014867299837419763
