,Standard_beran,True_proba,LogisticRegression,NN_BCE,NN_MSEloss,RandomForest,KNN
100,5.484920529029249e-05,2.8042449003019396e-05,2.946305867259783e-05,2.813247753515728e-05,2.7539244854223697e-05,2.879905269144008e-05,5.7832251222758475e-05
101,7.338933397958968e-05,5.8263022920175524e-05,6.12772981936462e-05,6.050330499604983e-05,6.753384618353189e-05,6.409460375738226e-05,7.385120005302892e-05
102,4.81442787559437e-05,4.736446300373761e-05,3.959016185044472e-05,3.802778078406741e-05,3.589628372436144e-05,3.291906264897915e-05,7.489315889406578e-05
103,6.616490175471505e-05,5.8710099280650966e-05,5.638336769656258e-05,5.988349798276309e-05,5.825039727526387e-05,5.5187375160846845e-05,5.612726822515086e-05
104,4.651546687718533e-05,3.096018373228899e-05,1.3149509427139999e-05,1.4331205307611126e-05,1.232424733578248e-05,1.0843595776280762e-05,1.2511824622480681e-05
105,4.5431582753420416e-05,4.1670017067720805e-05,3.541621757835945e-05,3.869580597150391e-05,3.992653155319312e-05,3.384164148486078e-05,5.7895389584878355e-05
106,2.2441746502788896e-05,2.9638149674675445e-05,3.2945957076622494e-05,3.662756597175439e-05,2.40346973376495e-05,3.411753327496381e-05,1.899902509051493e-05
107,0.00010304815189713837,5.1431157994914545e-05,5.3774192219391246e-05,6.769337998861978e-05,7.932957495981603e-05,6.804605590273001e-05,8.714561057228115e-05
108,3.51460393937404e-05,2.0549021018826852e-05,3.162740615949085e-05,2.8040106447094448e-05,2.6369925380444674e-05,2.936285376948705e-05,0.00016127807627112746
109,2.9792867340141357e-05,3.074105802915361e-05,2.633542616969478e-05,2.7610785874377582e-05,3.032607696930991e-05,2.711416985195076e-05,2.429021719388574e-05
110,1.728039397486646e-05,1.0766119049175687e-05,1.0080645634975169e-05,1.1298048118367182e-05,1.0602791442905391e-05,9.154438866555407e-06,2.1021034763238103e-05
111,7.67744118256274e-05,9.73071300442941e-05,0.0001012588957686911,0.00010489977271451054,0.00010686274973822122,0.00010084561946110505,0.00015224393069699713
112,1.977710194036603e-05,2.3634989221302692e-05,1.5453453020350544e-05,1.6231422086264826e-05,1.5750510925645802e-05,1.4951060215267188e-05,1.9107369008380145e-05
113,4.9624714856181877e-05,4.3713129342113456e-05,4.8926397469822584e-05,4.948320919308564e-05,5.0422960805699554e-05,4.9083680103319355e-05,4.9009555711967895e-05
114,3.859535135751136e-05,3.884337470767905e-05,2.8392413393039505e-05,2.8255149525843868e-05,2.833934473003713e-05,2.5935306665204066e-05,3.1583945843855724e-05
115,3.633885159701582e-05,8.847787636201718e-05,3.9819022469197766e-05,3.758801919304705e-05,3.738525165445434e-05,3.6731385225910834e-05,7.198711398092122e-05
116,3.483849637074843e-05,3.7390088874460545e-05,2.8699895203077378e-05,2.5844752454318494e-05,2.3472759251283455e-05,3.221430621963142e-05,3.914378894453376e-05
117,3.481227830311348e-05,1.6998070823855795e-05,1.1501440502651537e-05,1.2528139379589787e-05,1.2367393778274777e-05,1.1650949958487873e-05,5.252192188204268e-05
118,5.818918735300963e-05,2.8644300873322335e-05,3.541515384841027e-05,4.766276458106641e-05,4.876513876889883e-05,4.111851335270474e-05,0.00019269624288952648
119,8.233657108674574e-05,6.839901146891937e-05,7.167019990455975e-05,6.132427076577307e-05,5.7382523863532354e-05,6.525916583148893e-05,0.00014830214771338236
120,6.63204736444908e-05,7.54444389193762e-05,4.368249041598712e-05,5.455708851041472e-05,5.304071730165371e-05,4.8016085326512446e-05,0.00013404744656710785
121,2.776682685878311e-05,1.796925500078031e-05,2.2230951139409775e-05,2.6597037738715107e-05,2.3652777939169046e-05,2.578880703359067e-05,0.00017226109787121604
122,1.5702648590055347e-05,1.8226101630933668e-05,1.9186063577163955e-05,1.8506589737141854e-05,1.880758885959437e-05,1.8984971398496553e-05,2.3243284939263246e-05
123,5.4233717320911966e-05,3.8948301114490866e-05,3.573116759755996e-05,3.79230765200454e-05,3.615752379966206e-05,3.605857945537509e-05,4.9577257180543066e-05
124,5.9121678813769015e-05,3.0316792254209047e-05,4.444203963201234e-05,4.729680196076717e-05,4.847735022939496e-05,3.970910401095834e-05,5.6160140037630456e-05
125,1.350332291107831e-05,1.960772123004806e-05,1.4042134758863662e-05,1.244685357477057e-05,1.2573189363608681e-05,1.2131456821718424e-05,1.434034374762795e-05
126,3.159854424708994e-05,3.0922585913480785e-05,2.7169290682509794e-05,3.274153347015671e-05,2.7674064724486763e-05,2.7628617710189023e-05,3.881567528982718e-05
127,3.05568451731861e-05,1.8901584715151806e-05,3.112826312405631e-05,3.532449329135863e-05,2.757489001872918e-05,2.8682907560229758e-05,2.8484766378955082e-05
128,6.918987620598565e-05,4.3635653013066314e-05,5.132394490478215e-05,4.400588251417805e-05,4.58085087782796e-05,5.0569520644677595e-05,6.191371724199217e-05
129,3.981407252106694e-05,1.4474395508570677e-05,1.5706612539610226e-05,1.7227430001803817e-05,1.762727706141001e-05,1.2570198893687037e-05,3.324636448393548e-05
130,9.679441579544789e-06,1.850212247820681e-05,1.1592599637485862e-05,1.4488908387555432e-05,1.3589429933281843e-05,1.3143517427014293e-05,1.526246569814925e-05
131,1.778421029085391e-05,1.0515065624210601e-05,1.4380302421328481e-05,1.0711698748928293e-05,1.2101531237125846e-05,1.2996636663445016e-05,1.5074899058101796e-05
132,8.63426274627406e-05,6.757721365860926e-05,7.11859532886167e-05,3.116827817637792e-05,7.551862943783083e-05,6.832326471567977e-05,0.00012065508617014807
133,3.315820449906454e-05,2.7383805801091802e-05,2.7508451828839078e-05,2.8312010021780958e-05,2.7688510927759112e-05,2.7109445107464362e-05,3.457933917557555e-05
134,5.056971821238328e-05,3.2687884046466824e-05,3.4757128115549974e-05,3.8352237099451856e-05,3.6861676637383044e-05,3.8828026641905304e-05,5.0025092257414784e-05
135,2.9933695222136773e-05,1.7361993986077785e-05,2.2369413408429792e-05,2.444799058806899e-05,2.2703450550242388e-05,2.368133951036103e-05,2.8330152735408463e-05
136,2.7866729551675874e-05,1.4949900510224764e-05,2.2629277911443536e-05,2.3824985967682913e-05,2.448480454671976e-05,1.79866485815362e-05,3.12618566280765e-05
137,2.6502992495326238e-05,1.8723007605560296e-05,2.1619603886449575e-05,2.2393072709150096e-05,2.030269821738544e-05,2.0431507791132135e-05,2.2232866385076223e-05
138,0.00013139765514860188,7.02741555248355e-05,6.225003117242919e-05,6.563345942447776e-05,6.375525481432731e-05,6.382752788757432e-05,0.00017814097134151422
139,2.2017563721021055e-05,1.1837201634761365e-05,2.0530193906235068e-05,1.606524446141176e-05,1.4184954818054906e-05,2.170795381223367e-05,2.878033385810093e-05
140,0.0003130588432684181,6.13529756199004e-05,5.8946057955788905e-05,5.974392370329999e-05,5.948941370616661e-05,5.604594126808228e-05,0.00011978032545058197
141,2.804906000320405e-05,3.420813316424924e-05,3.3114011939041845e-05,2.8457391016637287e-05,2.6291271799655705e-05,2.905331792333661e-05,2.5850612954569783e-05
142,5.082008425927034e-05,4.504805064300054e-05,5.0179438041797905e-05,3.978800878067532e-05,4.105043760580598e-05,5.872807757564692e-05,9.369680278684723e-05
143,9.6836385993611e-05,4.570665669594293e-05,6.685756458530667e-05,5.9352032415171584e-05,5.8705568218800315e-05,6.225849060339129e-05,7.684212094782182e-05
144,3.2586880562419045e-05,1.6941026063389774e-05,2.8458458850122975e-05,2.2890407081745923e-05,2.1989138928697545e-05,1.9802327401354635e-05,6.203648392372717e-05
145,2.3130941980752336e-05,1.744021136512165e-05,2.2649898009471183e-05,1.8747377924127643e-05,1.8006664848563004e-05,1.6943685838907005e-05,2.632006875331314e-05
