,t,true_cdf_0.3,Standard_beran_cdf_0.3,NN_BCE_cdf_0.3,Standard_beran_mise_0.3,NN_BCE_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,NN_BCE_cdf_0.5,Standard_beran_mise_0.5,NN_BCE_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,NN_BCE_cdf_0.7,Standard_beran_mise_0.7,NN_BCE_mise_0.7
44,0.683221617965939,0.4801654773017255,0.4453440527824066,0.45808733508954047,0.002226827447379957,0.0016930437766297288,0.2878258318660145,0.2926217523327698,0.2801586282577146,0.0005971103580236918,0.0007621296260695259,0.12899885801715816,0.16042616939810334,0.13821104788079175,0.0017073863876481171,0.0007469631029834892
45,0.7127555306418799,0.5194240396226713,0.48464872325045666,0.497138524829934,0.0022237864050379816,0.0017148104912078574,0.322291281676902,0.3275362441127912,0.31517593462281424,0.0006428739733656661,0.0008422391083588597,0.15087450851121015,0.18425703925492395,0.16164189053049682,0.0019029884382617416,0.0008593823077133646
46,0.7422894433178208,0.5584949536866175,0.5230907169500937,0.5348582150966693,0.0021879672188918845,0.0016939304622271216,0.3583566878696764,0.36304886282062193,0.35070889081963813,0.0006711338711083744,0.0009300525828795334,0.17508913095317302,0.2106936380980995,0.18851421427332568,0.0021551089761817055,0.0010533642416086474
47,0.7718233559937616,0.5970043848239434,0.5620568426350087,0.5735886487514995,0.002205424655783465,0.0017864062759036512,0.3957326220147846,0.39871293630005866,0.3870683015220225,0.0007342811281045099,0.0010668947703594527,0.20163450060237414,0.23962906735567796,0.21787418088536292,0.002467975832391866,0.0013457690609662704
48,0.8013572686697025,0.6345946150913226,0.5999744113745177,0.6109831767454125,0.002149891799547905,0.0017667021559890034,0.43409342019572095,0.43632082804719685,0.4253367347734082,0.000811373446302693,0.0011596335468836354,0.23045451562548663,0.2698547381319317,0.24885440019545105,0.002641523588752888,0.0015598852456752768
49,0.8308911813456433,0.6709339705505184,0.6366031077388723,0.6477376004419013,0.0020790775370670687,0.0016515828176025258,0.47308560457243287,0.4739052837002379,0.46401616837970827,0.000852200128868437,0.0012228541196899494,0.2614425464046545,0.301143487578153,0.28240700913599337,0.0027705933959721405,0.0017901035056704353
50,0.8604250940215842,0.7057255227671981,0.6720379723228217,0.6827499439505362,0.002065320933423158,0.0016881939091852247,0.5123376097172019,0.5111897092119309,0.5018960015501398,0.0009212023978732009,0.0013887785940187296,0.2944405833906073,0.3336077931063503,0.3163465067858641,0.0027347837829367226,0.0019130247403107772
51,0.889959006697525,0.7387141877967727,0.7068197494418916,0.716271691773454,0.0018011679732439373,0.001510274328578083,0.5514703697770055,0.5488118362543365,0.5396980068157277,0.0009767444684708733,0.0015133773441125921,0.329240370092322,0.36790482879964215,0.351642737735699,0.002690034197567613,0.0020114957642662795
52,0.9194929193734659,0.7696919490087357,0.7382925307410291,0.7474854275364001,0.0017162163504343927,0.0014181735539286033,0.5901082653445554,0.5858833031171501,0.5771189250697424,0.0009088680545117586,0.0014828357481604369,0.36558660339829263,0.40506887004093994,0.38915648008511844,0.0029903693200047004,0.002310230723177967
53,0.9490268320494067,0.7985010472747485,0.7683696198560177,0.7769847380472784,0.0015830861727765286,0.0013419314468088679,0.6278899048460622,0.6206338301638334,0.6129040774480878,0.0008682615368697396,0.001511808628240856,0.40318216606501467,0.44103362473917107,0.4262932001492088,0.002924195040571857,0.002369425956157033
54,0.9785607447253476,0.8250351039489929,0.7958163314398295,0.8034497277626035,0.0014619843322869939,0.0012661152789396803,0.6644782263422151,0.6559986650052432,0.6492558603241494,0.0008475389610651678,0.0014569050172248447,0.44169523430506735,0.4784096812600566,0.4654656667905083,0.0029078990834483652,0.002410523096269093
55,1.0080946574012883,0.8492382593847659,0.8223702227577183,0.8287216675507877,0.001281875309817401,0.0012132039921526861,0.699569450937669,0.6890432838009504,0.6825009516717176,0.0007895396851262157,0.001455481936676172,0.48076798627991796,0.5156060255811802,0.5041243369783222,0.002942824717315743,0.002685750334440184
56,1.0376285700772292,0.8711025140460367,0.8460705631224381,0.8509019636774282,0.0011957346066510102,0.0011731092611818289,0.7329004946337444,0.7208956308641603,0.7143780783949033,0.000810644509182338,0.0014155855240182893,0.5200265343090327,0.5526715305969865,0.5421884777409979,0.0029095568305688097,0.002749976469787111
57,1.06716248275317,0.8906635438002124,0.8683259964911,0.8718997366830634,0.0009843058911295861,0.001011740720859295,0.7642545450545372,0.751514882280413,0.7456573105457893,0.0008589743186045451,0.0014311462379946055,0.5590916232340059,0.5888523079458441,0.5802641102292161,0.0028279848473128162,0.002702665292515805
58,1.096696395429111,0.9079953210689786,0.8878508481906395,0.8908946010320379,0.0008498931524493296,0.0009120767499894422,0.7934646247854327,0.7814310389495723,0.7762321951849868,0.0008221115948896883,0.0013804125790778505,0.597589586388879,0.6266807342737488,0.6190539862192386,0.002720110582667638,0.0026292963340722115
59,1.1262303081050518,0.9232039069127019,0.9042591995274474,0.9068317799345914,0.0007488370158137228,0.0007992241269808257,0.8204150848147804,0.8056418392977781,0.8014841750545593,0.0007829616236989817,0.0013287398812181438,0.6351630333743398,0.6589702643654474,0.6538387987897,0.0024538154902292485,0.002656921835205155
60,1.1557642207809926,0.9364207859664729,0.9194357834710004,0.9214887494627929,0.0006280856922616777,0.0006868812058833782,0.8450410903727602,0.831035358325945,0.8267057358729764,0.0006870299913197601,0.0012184112357445276,0.6714807617950777,0.69447528962617,0.6897795775044188,0.0022817382974639356,0.0026239210480185475
61,1.1852981334569335,0.9477960987178238,0.9332881254086174,0.9356007667953936,0.000504216816809806,0.0005759937012728927,0.8673262686814629,0.8531817414156889,0.8487540057977034,0.0006883229142339,0.0011539376802312943,0.7062464367545505,0.7246897347163818,0.7204407645218024,0.0019664789755864695,0.0023393549892515284
62,1.2148320461328743,0.9574920879216142,0.9448211654191309,0.9467791652593348,0.00041566160147712706,0.0004909105928157469,0.887298776642055,0.8743443142274947,0.8708358547920537,0.0006108248154559681,0.0010087600396875675,0.7392056628066759,0.756867166838697,0.752933006601069,0.0018773621756932551,0.002326962617731477
63,1.2443659588088152,0.9656770231556956,0.9538318275034728,0.9552328499492796,0.00035383309473441184,0.00039828457900853746,0.905026111226308,0.8913632695919083,0.8879171682817261,0.0005932685732250756,0.0009279600225002674,0.770151176432424,0.7849740212615299,0.78139427035671,0.001693831410801548,0.002065022706688636
64,1.273899871484756,0.9725198053626658,0.9631593507682978,0.964671153226152,0.0002682731798187949,0.0003147282125323275,0.9206090236160429,0.9075396400779456,0.9051317706565789,0.0005665148537538781,0.0008881408829586627,0.7989260044275193,0.8111131030722517,0.8086710817180687,0.0015280762720218737,0.0018374081559336044
65,1.3034337841606969,0.9781853874085928,0.9709462355042757,0.972302253054799,0.0001995570505164722,0.00022988710513087494,0.9341749096608163,0.9220063765214082,0.9203441942669152,0.00046099483355222485,0.0006912474814251747,0.8254245554894581,0.8333846627200276,0.8313149641900129,0.0012980744670933215,0.0016107416544336869
66,1.3329676968366377,0.9828310824062522,0.9760095022277497,0.9770837283453147,0.00016596260622885582,0.000188339763345645,0.9458710359258787,0.9340123203330458,0.9325669386974829,0.0003947156400561213,0.0006064253013701281,0.8495917294680918,0.8547107579858397,0.8532122357050734,0.001214872824803385,0.0014274997723544023
